DIA,MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DETALHAMENTO,VALOR_REEMBOLSADO
18,12,5,Passagens,2504,91,GJ1T2A,"Companhia Aérea: AZUL, Localizador: GJ1T2A. Passageiros: FERNANDA QUINA QUEIROZ (Matrícula 296664, COMISSIONADO), Voo: 5017 - BSB - CNF - 10/12/2021;",439.23
18,12,5,Passagens,2504,91,DD488S,"Companhia Aérea: AZUL, Localizador: DD488S. Passageiros: FERNANDA QUINA QUEIROZ (Matrícula 296664, COMISSIONADO), Voo: 2780 - CNF - BSB - 13/12/2021;",439.9
27,12,5,Passagens,2504,91,IJBS2A,"Companhia Aérea: AZUL, Localizador: IJBS2A. Passageiros: DANIEL DA CUNHA MESSIAS ROQUE (Matrícula 296603, COMISSIONADO), Voo: 4713 - BSB - CNF - 02/12/2021;",697.52
29,12,5,Aluguel,89,90,MISSING,MISSING,2234.47
30,12,5,Aluguel,401,90,MISSING,MISSING,443.14
01,1,6,Despesas gerais,196,196,9551,MISSING,2305.0
01,1,6,"Locomoção, hospedagem e alimentação",196,196,000.064.397,MISSING,343.56
01,1,6,Passagens,2529,2706,YYBZMN,"Companhia Aérea: LATAM, Localizador: YYBZMN. Passageiros: WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3063 - CGB/BSB - 09/02/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3160 - CGH/CGB - 11/02/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3131 - BSB/CGH - 11/02/2021;",232.44
02,1,6,Aluguel,144,144,296,MISSING,250.0
02,1,6,Divulgação,2315,2201,26201878,MISSING,346.87
02,1,6,"Locomoção, hospedagem e alimentação",196,196,000213,MISSING,4370.0
13,1,6,Aluguel,2472,529,044.219.713,MISSING,1178.19
13,1,6,Despesas gerais,111,111,000202038,MISSING,346.44
13,1,6,"Locomoção, hospedagem e alimentação",196,196,000210,MISSING,2530.0
15,1,6,"Locomoção, hospedagem e alimentação",101,101,000.242.306,MISSING,120.0
18,1,6,Aluguel,111,111,15,MISSING,300.0
20,1,6,"Locomoção, hospedagem e alimentação",2477,178,000.009.164,MISSING,351.94
27,1,6,Aluguel,196,196,MISSING,MISSING,3096.09
27,1,6,Aluguel,196,196,MISSING,MISSING,3096.09
27,1,6,"Locomoção, hospedagem e alimentação",102,185,000233806,MISSING,264.81
28,1,6,Aluguel,194,193,240486012021001,MISSING,34.67
28,1,6,"Locomoção, hospedagem e alimentação",2468,1504,000056777,MISSING,232.56
28,1,6,"Locomoção, hospedagem e alimentação",1783,164,000.151.406,MISSING,238.23
29,1,6,"Locomoção, hospedagem e alimentação",104,104,000.033.495,MISSING,317.47
02,2,6,Aluguel,107,107,6938,MISSING,160.0
02,2,6,Aluguel,2472,529,045.460.243,MISSING,1771.38
02,2,6,Aluguel,108,108,201,MISSING,140.0
02,2,6,Despesas gerais,111,111,19,MISSING,300.0
02,2,6,Despesas gerais,196,196,9703,MISSING,2805.0
02,2,6,"Locomoção, hospedagem e alimentação",1671,114,119087,MISSING,584.1
02,2,6,"Locomoção, hospedagem e alimentação",115,115,000109847,MISSING,313.5
02,2,6,"Locomoção, hospedagem e alimentação",119,119,001.202.634,MISSING,288.64
02,2,6,"Locomoção, hospedagem e alimentação",196,196,000213,MISSING,2530.0
02,2,6,Passagens,196,196,BXLWMU,"Companhia Aérea: LATAM, Localizador: BXLWMU. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3077 - CGB/BSB - 01/02/2021;",1517.18
02,2,6,Passagens,196,196,RZRWJF,"Companhia Aérea: LATAM, Localizador: RZRWJF. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3062 - BSB/CGB - 03/02/2021;",860.28
02,2,6,Passagens,196,196,DRALNU,"Companhia Aérea: LATAM, Localizador: DRALNU. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3024 - CGB/BSB - 09/02/2021;",666.98
02,2,6,Passagens,196,196,LP17QD,"Companhia Aérea: GOL, Localizador: LP17QD. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1816 - BSB/CGB - 05/02/2021;",843.65
02,2,6,Passagens,196,196,VCNHYM,"Companhia Aérea: LATAM, Localizador: VCNHYM. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3024 - CGB/BSB - 09/02/2021;",731.15
02,2,6,Passagens,196,196,IW5PQB,"Companhia Aérea: AZUL, Localizador: IW5PQB. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 4838 - BSB/CGB - 11/02/2021;",686.26
02,2,6,Passagens,196,196,BGS8NY,"Companhia Aérea: GOL, Localizador: BGS8NY. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1816 - BSB/CGB - 11/02/2021;",1308.6
03,2,6,Aluguel,144,144,303,MISSING,250.0
03,2,6,Aluguel,196,196,MISSING,MISSING,3096.09
03,2,6,Divulgação,2315,2201,27483916,MISSING,596.99
03,2,6,"Locomoção, hospedagem e alimentação",196,196,001275,MISSING,4190.0
13,2,6,Aluguel,111,111,545,MISSING,430.0
16,2,6,Despesas gerais,111,111,000259942,MISSING,913.12
17,2,6,"Locomoção, hospedagem e alimentação",2469,116,000494229,MISSING,200.0
18,2,6,Despesas gerais,190,189,43982,MISSING,239.0
19,2,6,Aluguel,135,135,2,MISSING,1102.76
20,2,6,Despesas gerais,194,193,MISSING,MISSING,100.0
20,2,6,"Locomoção, hospedagem e alimentação",118,118,000.114.222,MISSING,379.96
22,2,6,Passagens,196,196,MM2V5J,"Companhia Aérea: GOL, Localizador: MM2V5J. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1817 - CGB/BSB - 22/02/2021;",630.42
23,2,6,Aluguel,109,109,85,MISSING,570.0
24,2,6,Despesas gerais,111,111,23,MISSING,200.0
24,2,6,"Locomoção, hospedagem e alimentação",167,2753,000474723,MISSING,297.66
26,2,6,Aluguel,194,193,240486022021001,MISSING,34.67
26,2,6,Passagens,1247,121,QJ1KMD,"Companhia Aérea: AZUL, Localizador: QJ1KMD. Passageiros: GLAUCIO NOGUEIRA FARINA (Matrícula 371029, COMISSIONADO), Voo: 4660 - CGB/BSB - 31/01/2021; GLAUCIO NOGUEIRA FARINA (Matrícula 371029, COMISSIONADO), Voo: 4838 - BSB/CGB - 05/02/2021;",936.59
03,3,6,Aluguel,122,122,2,MISSING,2115.0
03,3,6,Despesas gerais,196,196,9887,MISSING,2805.0
03,3,6,Contratações,145,145,560,MISSING,780.0
03,3,6,"Locomoção, hospedagem e alimentação",196,196,000.070.898,MISSING,380.01
03,3,6,"Locomoção, hospedagem e alimentação",196,196,001275,MISSING,2710.0
03,3,6,Passagens,196,196,VPWW4A,"Companhia Aérea: GOL, Localizador: VPWW4A. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1817 - CGB/BSB - 01/03/2021;",767.01
03,3,6,Passagens,196,196,JLQL3J,"Companhia Aérea: GOL, Localizador: JLQL3J. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1816 - BSB/CGB - 04/03/2021;",460.94
04,3,6,Aluguel,144,144,308,MISSING,250.0
04,3,6,Divulgação,2315,2201,27760387,MISSING,453.01
16,3,6,Aluguel,2472,529,046702113,MISSING,1909.79
20,3,6,Despesas gerais,194,193,MISSING,MISSING,319.5
22,3,6,Passagens,196,196,JGDCYW,"Companhia Aérea: LATAM, Localizador: JGDCYW. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3024 - CGB/BSB - 22/03/2021;",604.38
22,3,6,Passagens,2529,2706,SNKSDH,"Companhia Aérea: LATAM, Localizador: SNKSDH. Passageiros: WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3024 - CGB/BSB - 24/03/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3374 - GRU/CGB - 25/03/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3265 - BSB/GRU - 25/03/2021;",71.88
23,3,6,Aluguel,196,196,MISSING,MISSING,3096.09
23,3,6,"Locomoção, hospedagem e alimentação",196,196,001279,MISSING,4370.0
24,3,6,"Locomoção, hospedagem e alimentação",196,196,15862,MISSING,155.02
25,3,6,"Locomoção, hospedagem e alimentação",196,196,000072644,MISSING,200.0
25,3,6,Passagens,196,196,BJPT3K,"Companhia Aérea: AZUL, Localizador: BJPT3K. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4338 - VCP/CGB - 25/03/2021; CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4395 - BSB/VCP - 25/03/2021;",353.68
30,3,6,Aluguel,194,193,240486032021001,MISSING,34.67
04,4,6,Despesas gerais,196,196,10048,MISSING,2805.0
04,4,6,"Locomoção, hospedagem e alimentação",196,196,15992,MISSING,200.0
04,4,6,Passagens,196,196,QVPKJJ,"Companhia Aérea: LATAM, Localizador: QVPKJJ. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3287 - CGB/BSB - 06/04/2021;",680.81
04,4,6,Passagens,196,196,FZFJUE,"Companhia Aérea: LATAM, Localizador: FZFJUE. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3287 - CGB/BSB - 06/04/2021;",729.81
04,4,6,Passagens,196,196,TVGPBG,"Companhia Aérea: LATAM, Localizador: TVGPBG. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3335 - BSB/CGB - 08/04/2021; IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3335 - BSB/CGB - 09/04/2021;",683.73
04,4,6,Passagens,196,196,TVGPBG,"Companhia Aérea: LATAM, Localizador: TVGPBG. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3335 - BSB/CGB - 08/04/2021;",683.83
04,4,6,Passagens,2529,2706,MJIDXX,"Companhia Aérea: LATAM, Localizador: MJIDXX. Passageiros: WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3287 - CGB/BSB - 27/04/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3335 - BSB/CGB - 29/04/2021;",162.94
05,4,6,Aluguel,144,144,313,MISSING,250.0
05,4,6,Divulgação,2315,2201,28844175,MISSING,520.0
07,4,6,Aluguel,194,193,4,MISSING,2300.0
13,4,6,Despesas gerais,161,161,000002883,MISSING,104.8
13,4,6,Despesas gerais,131,131,MISSING,MISSING,192.0
13,4,6,"Locomoção, hospedagem e alimentação",196,196,16163,MISSING,200.0
15,4,6,Aluguel,2472,529,047947230,MISSING,1594.09
16,4,6,Despesas gerais,194,193,000010528,MISSING,783.68
19,4,6,Aluguel,196,196,MISSING,MISSING,3096.09
19,4,6,"Locomoção, hospedagem e alimentação",196,196,001285,MISSING,4370.0
20,4,6,"Locomoção, hospedagem e alimentação",133,133,2148,MISSING,320.0
20,4,6,"Locomoção, hospedagem e alimentação",196,196,000075308,MISSING,200.0
22,4,6,Despesas gerais,194,193,000018422,MISSING,90.0
23,4,6,Aluguel,125,125,97432778,MISSING,2252.78
23,4,6,"Locomoção, hospedagem e alimentação",196,196,001279,MISSING,2530.0
24,4,6,"Locomoção, hospedagem e alimentação",134,134,31781,MISSING,362.04
24,4,6,Passagens,196,196,YKSKAY,"Companhia Aérea: LATAM, Localizador: YKSKAY. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3287 - CGB/BSB - 27/04/2021;",514.83
25,4,6,"Locomoção, hospedagem e alimentação",185,185,206723,MISSING,395.69
26,4,6,Aluguel,134,134,63,MISSING,280.0
26,4,6,Despesas gerais,131,131,MISSING,MISSING,121.0
26,4,6,Passagens,196,196,YSPHDT,"Companhia Aérea: LATAM, Localizador: YSPHDT. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3287 - CGB/BSB - 27/04/2021;",507.85
29,4,6,"Locomoção, hospedagem e alimentação",196,196,000.016.438,MISSING,230.02
29,4,6,Passagens,196,196,GXFRFN,"Companhia Aérea: LATAM, Localizador: GXFRFN. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3335 - BSB/CGB - 29/04/2021;",607.45
29,4,6,Passagens,196,196,VTRTGU,"Companhia Aérea: LATAM, Localizador: VTRTGU. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3315 - BSB/SDU - 29/04/2021; IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3009 - GRU/CGB - 29/04/2021; IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3204 - SDU/GRU - 29/04/2021;",2240.47
30,4,6,Aluguel,194,193,240486042021001,MISSING,35.4
30,4,6,Despesas gerais,184,184,0018404,MISSING,42.0
04,5,6,Passagens,2529,2706,YQSWIY,"Companhia Aérea: LATAM, Localizador: YQSWIY. Passageiros: WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3006 - CGB/GRU - 04/05/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3197 - GRU/SDU - 04/05/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3312 - SDU/BSB - 04/05/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3335 - BSB/CGB - 06/05/2021;",162.94
05,5,6,Despesas gerais,196,196,10262,MISSING,2805.0
05,5,6,Despesas gerais,184,184,0018578,MISSING,25.8
05,5,6,Despesas gerais,184,184,0.018.651,MISSING,81.6
05,5,6,Contratações,135,135,3,MISSING,150.0
05,5,6,"Locomoção, hospedagem e alimentação",139,139,594,MISSING,160.0
05,5,6,"Locomoção, hospedagem e alimentação",139,139,593,MISSING,160.0
05,5,6,"Locomoção, hospedagem e alimentação",139,139,592,MISSING,180.0
05,5,6,"Locomoção, hospedagem e alimentação",196,196,000077087,MISSING,330.0
05,5,6,"Locomoção, hospedagem e alimentação",188,187,000009410,MISSING,317.18
05,5,6,"Locomoção, hospedagem e alimentação",188,187,000.204.058,MISSING,210.04
05,5,6,Passagens,196,196,INEI5B,"Companhia Aérea: AZUL, Localizador: INEI5B. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4702 - VCP/BSB - 04/05/2021; CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4341 - CGB/VCP - 04/05/2021;",1064.54
05,5,6,Passagens,196,196,TNIFFE,"Companhia Aérea: AZUL, Localizador: TNIFFE. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 4702 - VCP/BSB - 05/05/2021; IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 4341 - CGB/VCP - 05/05/2021;",1559.54
05,5,6,Passagens,196,196,WP1EFT,"Companhia Aérea: GOL, Localizador: WP1EFT. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 4998 - BSB/CGB - 06/05/2021;",450.23
05,5,6,Passagens,196,196,SU9VJR,"Companhia Aérea: GOL, Localizador: SU9VJR. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4998 - BSB/CGB - 06/05/2021;",450.23
05,5,6,Passagens,196,196,ANP6HD,"Companhia Aérea: GOL, Localizador: ANP6HD. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4995 - CGB/BSB - 11/05/2021;",1310.43
05,5,6,Passagens,196,196,HUD9UB,"Companhia Aérea: GOL, Localizador: HUD9UB. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4998 - BSB/CGB - 12/05/2021;",645.81
05,5,6,Passagens,196,196,VQGYWQ,"Companhia Aérea: GOL, Localizador: VQGYWQ. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 4998 - BSB/CGB - 12/05/2021;",815.68
05,5,6,Passagens,2529,2706,DPSQBB,"Companhia Aérea: LATAM, Localizador: DPSQBB. Passageiros: WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3336 - CGB/BSB - 10/05/2021; WILSON GAMBOGI PINHEIRO TAQUES (Matrícula 367671, COMISSIONADO), Voo: 3335 - BSB/CGB - 16/09/2021;",111.16
06,5,6,Aluguel,144,144,318,MISSING,250.0
06,5,6,Divulgação,2315,2201,29912741,MISSING,100.0
07,5,6,Aluguel,194,193,5,MISSING,2300.0
14,5,6,Aluguel,2472,529,049194613,MISSING,1436.07
14,5,6,"Locomoção, hospedagem e alimentação",137,137,10575,MISSING,219.5
14,5,6,"Locomoção, hospedagem e alimentação",196,196,000.016.772,MISSING,200.0
17,5,6,"Locomoção, hospedagem e alimentação",188,187,000.209.296,MISSING,200.0
17,5,6,Passagens,196,196,IHBQNL,"Companhia Aérea: GOL, Localizador: IHBQNL. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 4995 - CGB/BSB - 17/05/2021;",846.18
19,5,6,Aluguel,196,196,MISSING,MISSING,3096.09
19,5,6,Despesas gerais,190,189,44935,MISSING,249.0
19,5,6,"Locomoção, hospedagem e alimentação",196,196,001285,MISSING,2530.0
20,5,6,"Locomoção, hospedagem e alimentação",196,196,001296,MISSING,4370.0
22,5,6,"Locomoção, hospedagem e alimentação",191,190,000.142.289,MISSING,331.83
23,5,6,"Locomoção, hospedagem e alimentação",136,136,209863,MISSING,405.03
23,5,6,"Locomoção, hospedagem e alimentação",187,186,607,MISSING,100.0
24,5,6,Despesas gerais,161,161,000.002.962,MISSING,125.85
24,5,6,Despesas gerais,184,184,0.018.964,MISSING,99.3
24,5,6,Contratações,195,194,83,MISSING,2500.0
25,5,6,Aluguel,134,134,64,MISSING,100.0
25,5,6,Despesas gerais,194,193,000014490,MISSING,1128.63
26,5,6,Despesas gerais,194,193,000.018.619,MISSING,100.0
27,5,6,"Locomoção, hospedagem e alimentação",196,196,000.079.196,MISSING,274.0
27,5,6,Passagens,196,196,IGUOXD,"Companhia Aérea: LATAM, Localizador: IGUOXD. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3335 - BSB/CGB - 27/05/2021;",289.93
28,5,6,"Locomoção, hospedagem e alimentação",142,142,000.216.606,MISSING,341.3
29,5,6,Aluguel,194,193,240486052021001,MISSING,35.4
29,5,6,"Locomoção, hospedagem e alimentação",196,196,000.079.441,MISSING,89.31
31,5,6,"Locomoção, hospedagem e alimentação",141,141,000.381.884,MISSING,364.2
31,5,6,"Locomoção, hospedagem e alimentação",144,144,22257,MISSING,145.0
31,5,6,"Locomoção, hospedagem e alimentação",144,144,22258,MISSING,145.0
06,6,6,Despesas gerais,196,196,10305,MISSING,2805.0
06,6,6,Despesas gerais,184,184,0019434,MISSING,104.2
06,6,6,"Locomoção, hospedagem e alimentação",148,148,41,MISSING,392.02
06,6,6,"Locomoção, hospedagem e alimentação",191,190,000.013.236,MISSING,330.02
06,6,6,"Locomoção, hospedagem e alimentação",149,149,445,MISSING,80.0
06,6,6,"Locomoção, hospedagem e alimentação",150,150,1150,MISSING,80.0
06,6,6,"Locomoção, hospedagem e alimentação",187,186,635,MISSING,100.0
06,6,6,"Locomoção, hospedagem e alimentação",167,2753,000.495.304,MISSING,187.6
06,6,6,"Locomoção, hospedagem e alimentação",196,196,000.017.185,MISSING,338.52
06,6,6,"Locomoção, hospedagem e alimentação",173,173,000.059.248,MISSING,325.93
06,6,6,Passagens,196,196,XWVCFU,"Companhia Aérea: LATAM, Localizador: XWVCFU. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3336 - CGB/BSB - 07/06/2021;",302.36
06,6,6,Passagens,196,196,EGYQDV,"Companhia Aérea: LATAM, Localizador: EGYQDV. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3336 - CGB/BSB - 07/06/2021;",351.36
06,6,6,Passagens,196,196,WR8EVN,"Companhia Aérea: GOL, Localizador: WR8EVN. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 9420 - GRU/CGB - 09/06/2021; IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 1419 - BSB/GRU - 09/06/2021;",1156.07
06,6,6,Passagens,196,196,CH6MKY,"Companhia Aérea: GOL, Localizador: CH6MKY. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1716 - BSB/CGB - 11/06/2021;",1439.99
07,6,6,Aluguel,194,193,6,MISSING,2300.0
07,6,6,Aluguel,144,144,322,MISSING,250.0
07,6,6,Aluguel,196,196,MISSING,MISSING,3700.0
07,6,6,Divulgação,2315,2201,31113747,MISSING,665.0
07,6,6,"Locomoção, hospedagem e alimentação",196,196,001307,MISSING,4370.0
13,6,6,"Locomoção, hospedagem e alimentação",187,186,647,MISSING,100.0
14,6,6,"Locomoção, hospedagem e alimentação",196,196,000017430,MISSING,200.0
14,6,6,Passagens,196,196,QYLOVQ,"Companhia Aérea: LATAM, Localizador: QYLOVQ. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3336 - CGB/BSB - 14/06/2021;",342.85
14,6,6,Passagens,196,196,QZQXFV,"Companhia Aérea: LATAM, Localizador: QZQXFV. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3336 - CGB/BSB - 14/06/2021;",407.85
15,6,6,Aluguel,145,145,49,MISSING,7800.0
15,6,6,Despesas gerais,194,193,000015768,MISSING,79.8
16,6,6,Aluguel,2472,529,050444148,MISSING,1649.48
16,6,6,"Locomoção, hospedagem e alimentação",188,187,223973,MISSING,384.21
16,6,6,Passagens,196,196,UWVCSG,"Companhia Aérea: GOL, Localizador: UWVCSG. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 1716 - BSB/CGB - 16/06/2021;",1270.5
16,6,6,Passagens,196,196,WR8EVN,"Companhia Aérea: GOL, Localizador: JNGZQW. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1716 - BSB/CGB - 16/06/2021;",1359.9
17,6,6,"Locomoção, hospedagem e alimentação",153,153,202100000000313,MISSING,180.0
17,6,6,"Locomoção, hospedagem e alimentação",158,158,202100000001101,MISSING,135.0
18,6,6,"Locomoção, hospedagem e alimentação",147,147,000068465,MISSING,413.0
18,6,6,"Locomoção, hospedagem e alimentação",180,180,10928,MISSING,130.0
18,6,6,"Locomoção, hospedagem e alimentação",180,180,10929,MISSING,133.0
19,6,6,"Locomoção, hospedagem e alimentação",196,195,202100000000315,MISSING,265.0
19,6,6,"Locomoção, hospedagem e alimentação",196,195,202100000000313,MISSING,265.0
19,6,6,"Locomoção, hospedagem e alimentação",196,195,202100000000314,MISSING,265.0
20,6,6,"Locomoção, hospedagem e alimentação",196,196,001296,MISSING,2530.0
21,6,6,Passagens,196,196,QZTJKK,"Companhia Aérea: LATAM, Localizador: QZTJKK. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3336 - CGB/BSB - 21/06/2021;",342.85
21,6,6,Passagens,196,196,EGOJSA,"Companhia Aérea: LATAM, Localizador: EGOJSA. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 3336 - CGB/BSB - 21/06/2021;",407.85
22,6,6,Contratações,195,194,85,MISSING,2500.0
22,6,6,"Locomoção, hospedagem e alimentação",196,196,001313,MISSING,1200.0
24,6,6,"Locomoção, hospedagem e alimentação",196,334,000035310,MISSING,140.0
24,6,6,"Locomoção, hospedagem e alimentação",196,196,000017675,MISSING,166.02
24,6,6,Passagens,196,196,VFQQ9B,"Companhia Aérea: GOL, Localizador: VFQQ9B. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 1716 - BSB/CGB - 24/06/2021;",364.76
25,6,6,Despesas gerais,194,193,000013285,MISSING,58.5
25,6,6,Divulgação,145,145,572,MISSING,2180.0
25,6,6,"Locomoção, hospedagem e alimentação",169,169,000692501,MISSING,38.7
25,6,6,Passagens,196,196,KP8BKQ,"Companhia Aérea: GOL, Localizador: KP8BKQ. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 1716 - BSB/CGB - 25/06/2021;",867.64
26,6,6,"Locomoção, hospedagem e alimentação",196,196,000017733,MISSING,77.98
27,6,6,"Locomoção, hospedagem e alimentação",191,190,000013644,MISSING,33.0
27,6,6,"Locomoção, hospedagem e alimentação",191,190,000013644,MISSING,95.08
28,6,6,Despesas gerais,184,184,0019844,MISSING,140.0
28,6,6,Passagens,196,196,WRDRMX,"Companhia Aérea: LATAM, Localizador: WRDRMX. Passageiros: CARLOS HENRIQUE BAQUETA FÁVARO (Matrícula 367439, PARLAMENTAR), Voo: 3336 - CGB/BSB - 28/06/2021;",149.85
29,6,6,Aluguel,194,193,240486062021001,MISSING,35.4
29,6,6,"Locomoção, hospedagem e alimentação",182,182,001162835,MISSING,37.79
29,6,6,"Locomoção, hospedagem e alimentação",196,196,000017783,MISSING,134.79
30,6,6,"Locomoção, hospedagem e alimentação",175,175,000025551,MISSING,83.0
30,6,6,Passagens,196,196,YGQHSB,"Companhia Aérea: GOL, Localizador: YGQHSB. Passageiros: IRAJÁ REZENDE DE LACERDA (Matrícula 367518, COMISSIONADO), Voo: 1716 - CGB/BSB - 30/06/2021;",943.56
07,7,6,Aluguel,196,196,MISSING,MISSING,3700.0
07,7,6,Despesas gerais,196,196,10516,MISSING,2805.0
07,7,6,Despesas gerais,161,161,000.003.055,MISSING,135.0
07,7,6,Despesas gerais,184,184,0020093,MISSING,126.4
07,7,6,Despesas gerais,194,193,000018929,MISSING,100.0
07,7,6,Contratações,195,194,88,MISSING,2500.0
07,7,6,"Locomoção, hospedagem e alimentação",175,175,000.025.619,MISSING,183.6
07,7,6,"Locomoção, hospedagem e alimentação",175,175,000.025.618,MISSING,200.2
07,7,6,"Locomoção, hospedagem e alimentação",191,190,000013953,MISSING,169.06
07,7,6,"Locomoção, hospedagem e alimentação",167,2753,000500808,MISSING,142.0
